source	acceptability_label	source_annotation	sentence
T00001	1		높은 달이 떴다.
T00001	0	*	달이 뜸이 높았다.
T00002	1		실없는 사람이 까불까불한다.
T00003	1		나는 철수에게 공을 던졌다.
T00004	1		내가 순이와 둘이서 다툰다.
T00004	0	*	내가 순이와 우리가 다툰다.
T00005	1		나는 부지런히 뛰었다.
T00005	0	?	나는 부지런히 뛰어졌다.
T00006	1		사랑이 죄는 아니다.
T00006	0	*	죄는 사랑이 아니다.
T00007	1		철수는 영미를 가면적으로 미워하였다.
T00007	0	*	철수에게는 영미가 가면적으로 미웠다.
T00008	1		그가 그녀에게 감기를 옮겼다.
T00008	0	*	그녀가 그에 의해서 감기를 옮겨졌다.
T00009	1		어린이가 많이 살았다.
T00009	0	*	어린이가 살음이 많았다.
T00010	1		영희가 나에게 좋다.
T00010	0	*	영희가 나에게 좋아를 한다.
T00011	1		고양이가 꽃밭을 파헤쳐 놓았다.
T00011	0	?	고양이가 꽃밭을 파헤쳐 두었다.
T00012	1		영수가 밥을 먹고 나서 철수가 밥을 먹겠다.
T00012	0	*	영수가 밥을 먹었고서 철수가 밥을 먹겠다.
T00013	1		우리는 열심히 공부해야 한다.
T00013	0	*	우리는 열심히 공부해야 하자.
T00014	1		나는 "이젠 살았구나"하고 굴 밖으로 나왔다.
T00014	0	*	나는 "이젠 살았구나"라고 굴 밖으로 나왔다.
T00015	1		영호가 더워한다.
T00015	0	*	방이 더워한다.
T00017	1		철수는 뱀이 징그럽다고 말했다.
T00017	0	*	철수가 나는 뱀이 징그럽다고 말했다.
T00018	1		체온이 싸늘하니 식어 있다.
T00018	0	*	체온이 식음이 싸늘했다.
T00019	1		나는 그 말이 모순이 된다고 생각한다.
T00019	0	*	나는 모순을 그 말이 된다고 생각한다.
T00020	1		복희가 결혼했다고 소문이 떠돈다.
T00020	0	*	복희가 결혼했다고 소문이 있다.
T00021	1		이웃을 미워하지 말자.
T00021	0	*	이웃이 밉지 말자.
T00022	1		나는 앞으로 불쌍한 이를 돕겠다.
T00022	0	*	너는 앞으로 불쌍한 이를 돕겠다.
T00023	1		도둑이 칼을 들고 밥을 먹는다.
T00023	0	*	도둑이 칼을 들어서 밥을 먹는다.
T00024	1		창수가 편지를 써 주었다.
T00024	0	?	창수가 편지를 쓰고 주었다.
T00025	1		철수가 그림을 매우 잘 그린다.
T00025	0	*	철수가 그림을 매우는 잘 그린다.
T00026	1		철수가 추워하느냐?
T00026	0	*	철수가 추우냐?
T00028	0	*	먹은 바를 다 소화시켜야 한다.
T00030	1		영자가 철수랑 영수랑과 싸운다.
T00030	0	??	영자가 철수와 영수와랑 싸운다.
T00031	1		그는 살인했다는 죄목으로 처형되었다.
T00031	0	*	그는 살인한 죄목으로 처형되었다.
T00032	1		내일까지 계속 손 들고 있어!
T00032	0	?*	내일까지 계속 손 들어!
T00033	1		사람은 언제나 젊을 수는 없다.
T00034	1		저 아이에게 이 그릇을 선반에 얹히세요.
T00034	0	*	저 아이에게 이 그릇이 선반에 얹혔다.
T00035	1		언어는 사회적 약속이다. 그것은 소쉬르의 정의다.
T00035	0	*	언어는 사회적 약속이다. 언어는 사회적 약속이다는 소쉬르의 정의다.
T00037	1		그는 지금 간다.
T00037	0	*	그는 지금 갔었다.
T00038	0	*	그가 팔을 곧이 뻗는다.
T00039	1		나는 그를 길에서 우연히 만났다.
T00039	0	?	나는 그를 길에서 우연히 만나 주었다.
T00040	1		그가 내 차를 고장 내어 놓았다.
T00040	0	?	그가 내 차를 고장 내어 두었다.
T00041	1		그가 나를 시큰둥하니 안다.
T00041	0	??	그가 시큰둥하니 나를 안다.
T00042	1		그들은 기꺼이 자동차에 탔다.
T00042	0	?	그들은 기꺼이 자동차에 다 타졌다.
T00043	1		나는 책상을 방에서 마루로 옮겼다.
T00043	0	?	나는 책상을 방에서 마루에 놓았다.
T00044	1		나는 "역시 영희가 철수보다 낫구나." 하고 느꼈다.
T00044	0	*	나는 "역시 영희가 철수보다 낫구나"라고 느꼈다.
T00045	1		그가 나를 굳이 따라온다.
T00045	0	*	그가 나를 굳게 따라온다.
T00046	0	*	철수가 자오.
T00047	1		천재일지라도 그 문제는 풀지 못할 것이다.
T00047	0	?	천재이더라도 그 문제는 풀지 못할 것이다.
T00048	1		노인이 혼자 사는 것이 매우 안 됐어서 쌀을 한 말 보내 주었다.
T00048	0	*	노인이 혼자 사는 것이 아직 안 됐어서 쌀을 한 말 보내 주었다.
T00049	0	*	나는 그는 노래를 부르고는 피아노를 쳤다.
T00052	1		철수가 영수의 손을 잡고 눈물을 글썽거렸다.
T00054	1		내가 영희가 좋더라.
T00054	0	*	내가 영희를 좋아를 하더라.
T00055	1		철수가 부자는 되었다.
T00055	0	*	부자는 철수가 되었다.
T00056	1		마음이 든든은 한데 개운치는 못하다.
T00057	1		이 사람은 학생이다.
T00057	0	*	사람은 학생이다.
T00059	1		그는 나에게 돈을 빌려 준 일이 있다.
T00059	0	*	그는 나에게 돈을 빌려 주었다는 일이 있다.
T00060	1		나는 그 말이 웅변적이 아니라고 생각한다.
T00060	0	*	나는 웅변적을 그 말이 아니라고 생각한다.
T00061	1		믿거나 말거나 하시오!
T00061	0	*	믿거나 마시오!
T00062	1		그는 얼굴이 아주 못났다.
T00062	0	*	그는 얼굴이 못 아주 났다.
T00063	1		나는 종소리가 더 잘 들리더라.
T00063	0	*	나는 종소리를 더 잘 듣더라.
T00064	0	*	경찰은 나를 살인범이라고 취급했다.
T00065	1		이 물건은 나와 영수한테 공용된다.
T00065	0	*	이 물건은 우리와 공용된다.
T00068	1		나는 철수에게 추우냐고 물었다.
T00068	0	*	나는 철수에게 추워하느냐고 물었다.
T00069	0	*	그의 업적은 길게 빛난다.
T00070	1		마시면서 이야기해라.
T00070	0	??	마시지 말면서 이야기해라.
T00071	1		놀라서 기가 막혔다.
T00071	0	?	놀라서 기가 막아졌다.
T00072	1		그 문을 10분 동안 닫아 놓았다가 열었다.
T00072	0	*	그 문을 10분 동안 닫았다가 열었다.
T00073	1		누가 이 반에서 달리기를 제일 잘 하느냐?
T00073	0	*	누구는 이 반에서 달리기를 제일 잘 하느냐?
T00074	1		너는 그 거지가 왕자라는 사실을 알고 있느냐?
T00074	0	*	너는 그 거지는 왕자라는 사실을 알고 있느냐?
T00076	1		너는 사기꾼이 좋으냐?
T00076	0	*	철수는 사기꾼이 좋으냐?
T00077	1		아저씨를 무서워하지 말아라.
T00077	0	*	아저씨가 무섭지 말아라.
T00078	1		순경이 시계를 훔친 도둑놈을 잡았다.
T00078	0	*	순경이 시계는 훔친 도둑놈을 잡았다.
T00079	1		악동들은 일부러 잔디를 뽑았다.
T00079	0	*	악동들에게는 일부러 잔디가 뽑혔다.
T00080	1		철수가 이 나무를 뽑아라.
T00080	0	*	철수에게 이 나무가 뽑혀라.
T00081	1		철학자는 상식을 연구를 한다.
T00081	0	*	철학자는 상식을 깊은 연구를 한다.
T00082	1		무너진 담을 그대로 두었다.
T00082	0	*	무너진 담을 그대로 놓았다.
T00084	1		철수가 학교에 가서 공부한다.
T00084	0	*	철수가 학교에 가지 않아서 공부한다.
T00086	1		철수가 더워하느냐?
T00086	0	*	철수가 더우냐?
T00087	1		죽이든 살리든 해라!
T00087	0	*	죽이든 살려라!
T00088	1		나는 이 사건의 주모자를 네가 된다고 들었다.
T00088	0	?	나는 네가 이 사건의 주모자를 된다고 들었다.
T00089	1		내가 그 일을 맡자.
T00089	0	*	네가 그 일을 맡자.
