ID	Target	SENTENCE1	SENTENCE2	ANSWER	start_s1	end_s1	start_s2	end_s2
1	단정	그의 죽음은 타살로 단정이 되었다.	단정이 된 교실은 정돈되어 있다.	False	11	13	0	2
2	단수	현대 생활에서 단전과 단수의 고통은 겪어 보지 않으면 짐작도 못한다.	사업자를 단수로 할지 복수로 할지를 놓고 관계자들 사이에 입씨름이 벌어졌다.	False	12	14	5	7
3	화성	화성은 밤과 낮, 하루의 길이와 계절의 변화가 지구와 매우 비슷하다.	화성은 서양 음악을 이루는 중요한 요소이다.	False	0	2	0	2
4	자전	달의 자전 주기는 달이 지구의 둘레를 공전하는 주기와 같다.	태양계의 모든 행성은 자전을 한다.	True	3	5	12	14
5	동지	오늘의 적이 내일은 동지가 될 수 있다.	동지에 무와 감자를 나누어 심었다.	False	11	13	0	2
6	무명	흰 무명 수건을 질끈 동인, 언제나 칼로 맨송맨송 민 머리.	어머니께서는 무명을 장롱 깊숙이 두셨다.	True	2	4	7	9
7	수술	말은 안 해 그렇지 최악의 경우엔 개복 수술을 피치 못할지도 모를 일이겠던 것이다.	수술을 마치고 병원의 회복실에서 마취를 깬 나는 병상에 누운 채 처음 그녀를 보았다.	True	22	24	0	2
8	통신사	통신사는 조선이 에도 막부에 파견한 대규모 사절단을 지칭하는 명칭이다	갤럭시폰이 국내 이통 통신사 3사를 통해 15일 개통을 시작했다.	False	0	3	12	15
9	동서	동서로 다니면서 얻은 것이 있다.	칸의 제국은 동서를 잇는 계기가 되었다.	True	0	2	7	9
10	사료	언니가 애견숍에서 강아지에게 먹일 사료를 사 왔다.	그 소는 부패한 사료를 많이 먹어 고창증에 걸렸다.	True	19	21	9	11
11	대령	편지를 뜯어본 오 대령의 심정은 착잡하기 이를 데 없었다.	아버지는 대령으로 제대를 하셨다.	True	10	12	5	7
12	미음	우리 엄마가 끓여주신 미음은 일품이다．	미음만 쒀 먹자．	True	12	14	0	2
13	수의	모든 외국인 거류지 내에서는 어느 장소를 막론하고 일본 상민은 수의로 거주할 수 있다.	윤달에 수의를 마련하면 병치레 없이 오래 산다는 옛말이 있다.	False	35	37	4	6
14	고문	그는 새로 신설된 위원회의 고문으로 추대되었다.	우리나라 헌법 12조에 의하면 모든 국민은 고문을 받지 않는다고 명시되어 있다.	False	15	17	24	26
15	수재	수재로 인한 대흉으로 농민들이 불안해하고 있다.	재벌 기업마다 수재 의연금의 각출을 약속하였다.	True	0	2	8	10
16	고사	새옹지마라는 고사를 아나?	경기는 고대 아테네의 마라톤 전투의 고사에서 유래한 경기이다.	True	7	9	20	22
17	성화	서울 올림픽 개막식에서 비둘기가 날고 성화가 타오르는 가운데 애국가가 장엄하게 울려 퍼졌다.	그 손님은 아이의 성화에 못 이겨 아이를 메다붙일 듯이 번쩍 들었다가 놓아주는 것을 몇 번 반복하였다.	False	21	23	10	12
18	기관	비행기가 기관 고장을 일으켜 추락했다는 소식이 들려왔다.	출발 전에 열차 기관에 이상은 없는지 확인해라.	True	5	7	9	11
19	방	이 방에는 볕이 잘 든다.	방에 불이 꺼져 냉하다.	True	2	3	0	1
20	수장	그는 이례적으로 자신이 죽으면 수장을 해 달라고 유언했다.	성문을 지키던 수장이 잠시 자리를 비운 사이 사건이 발생했다.	False	17	19	8	10
21	수리	고장난 핸드폰을 수리 센터에 맡겼다.	내부 수리 공사로 당분간 휴업합니다.	True	9	11	3	5
22	가위	요즘 맨날 가위에 눌려서 죽겠어.	나는 신문 자료를 오리기 위해서 항상 가위를 가지고 다닌다.	False	6	8	21	23
23	정기	산의 정기를 받아 영자를 타고난 그 장군은 어릴 적부터 몸가짐이 남달랐다.	산천의 정기와 우주의 정영을 받아 자질이 수려하고 부성이 순명하였다.	True	3	5	4	6
24	관장	아기가 한참 동안 변을 보지 않아 관장이 필요하다.	우리 박물관 관장은 프랑스에서 미술사를 전공한 사람이다.	False	19	21	7	9
25	전수	김 선생님은 칠공예의 전수 및 발전에 평생을 바치신 분이다.	해당 사업을 통해 소외 계층에 복지 및 문화 체험의 기회 제공이나 전통 문화 보존 전수 등의 기대 효과가 예상된다.	True	12	14	46	48
26	사료	뱀장어용 사료는 반죽 상태로 만들어 주어라.	문헌 사료는 주로 관(官)에 의해서 찬술되었다.	False	5	7	3	5
